word|styled-context|chapter|location
restriñimientos.|"omo el boj de su huerto. Tenía la boca muy grande, y al sonreír con propósito de agradar, los labios iban de oreja a oreja. No se sabe por qué entonces era cuando mejor se conocía que Bermúdez no se quejaba de vicio al quejarse del pícaro estómago, de digestiones difíciles y sobre todo de perpetuos <span style=""color: rgb(0, 0, 255);"">restriñimientos.</span> Era una sonrisa llena de arrugas, que equivalía a una mueca provocada por un dolor intestinal, aquella con que Bermúdez quería pasar por el hombre más espiritual de Vetusta, y el más capaz de comprender una pasión profunda y alambicada. Pues debe advertirse que sus lecturas serias d"|I|Location 591
sucedáneos.|"no fuera. Sin embargo, pocas veces quitaba la gasa del sombrero porque se tenía por pariente de toda la nobleza vetustense, y en cuanto moría un aristócrata estaba de pésame. Allá, en el fondo de su alma, se creía nacido para el amor, y su pasión por la arqueología era un sentimiento de la clase de <span style=""color: rgb(0, 0, 255);"">sucedáneos.</span> Al ver en las novelas más acreditadas de Francia y de España que los personajes de mejor sociedad sentían sobre poco más o menos las mismas comezones de que él era víctima, ya no vaciló en pensar que lo que le había faltado había sido un escenario. Las muchachas de Vetusta eran incapaces"|I|Location 598
remordimientos|"cenario. Las muchachas de Vetusta eran incapaces de comprenderle, así como él se confesaba a solas que no se atrevería jamás a acercarse a una joven para decirle cosa mayor en materia de amores.

Tal vez las casadas, algunas por lo menos, podrían entenderle mejor. La primera vez que pensó esto tuvo <span style=""color: rgb(0, 0, 255);"">remordimientos</span> para una semana; pero volvió la idea a presentarse tentadora, y como en las novelas que saboreaba sucedía casi siempre que eran casadas las heroínas, pecadoras sí, pero al fin redimidas por el amor y la mucha fe, vino en averiguar y dar por evidente que se podía querer a una casada y "|I|Location 602
mentecato.|"ciertas parábolas y alegorías que tomaba de la Biblia y otros libros orientales; pero la señora de sus amores no hacía caso de los ojos de don Saturno ni entendía las alegorías ni las parábolas; no hacía más que decir a espaldas de Bermúdez:

—No sé cómo ese don Saturno puede saber tanto: parece un <span style=""color: rgb(0, 0, 255);"">mentecato.</span>

Esta señora que llamaban en Vetusta la Regenta, porque su marido, ahora jubilado, había sido regente de la Audiencia, nunca supo la ardiente pasión del arqueólogo. Este joven sentimental y amante del saber se cansó de devorar en silencio aquel amor único y procuró ser veleidoso, aturdirs"|I|Location 609
veleidoso,|"r tanto: parece un mentecato.

Esta señora que llamaban en Vetusta la Regenta, porque su marido, ahora jubilado, había sido regente de la Audiencia, nunca supo la ardiente pasión del arqueólogo. Este joven sentimental y amante del saber se cansó de devorar en silencio aquel amor único y procuró ser <span style=""color: rgb(0, 0, 255);"">veleidoso,</span> aturdirse, y esto último poco trabajo le costaba, porque nunca se vio hombre más aturdido que él en cuanto una mujer quería marearle con una o dos miradas. Cuatro años hacía que no perdía baile, ni reunión de confianza, ni teatro, ni paseo, y todavía las damas, cada vez que le veían baila"|I|Location 611
aturdirse,|"rece un mentecato.

Esta señora que llamaban en Vetusta la Regenta, porque su marido, ahora jubilado, había sido regente de la Audiencia, nunca supo la ardiente pasión del arqueólogo. Este joven sentimental y amante del saber se cansó de devorar en silencio aquel amor único y procuró ser veleidoso, <span style=""color: rgb(0, 0, 255);"">aturdirse,</span> y esto último poco trabajo le costaba, porque nunca se vio hombre más aturdido que él en cuanto una mujer quería marearle con una o dos miradas. Cuatro años hacía que no perdía baile, ni reunión de confianza, ni teatro, ni paseo, y todavía las damas, cada vez que le veían bailando un rigo"|I|Location 611
desvencijada,|"ién a olfatear el vicio, el crimen pensaba él, crimen en que tenía seguridad de no caer, no tanto por esfuerzos de la virtud como por invencible pujanza del miedo que no le dejaba nunca dar el último y decisivo paso en la carrera del abismo. Al borde llegaba todas las noches, y solía ser una puerta <span style=""color: rgb(0, 0, 255);"">desvencijada,</span> sucia y negra en las sombras de algún callejón inmundo. Alguna vez desde el fondo del susodicho abismo le llamaba la tentación; entonces retrocedía el sabio más pronto, ganaba el terreno perdido, volvía a las calles anchas y respiraba con delicia el aire puro; puro como su cuerpo; y pa"|I|Location 626
apretando|"to gentil o el Santo Fuerte, y pensaba en sus amores de niño o en alguna heroína de sus novelas.

¡Ah, cuánta felicidad había en estas victorias de la virtud! ¡Qué clara y evidente se le presentaba entonces la idea de una Providencia! ¡Algo así debía de ser el éxtasis de los místicos! Y don Saturno <span style=""color: rgb(0, 0, 255);"">apretando</span> el paso volvía a su casa ebrio de idealismo, mojando los embozos de la capa con las lágrimas que le hacía llorar aquel baño de idealidad, como él decía para sus adentros. Su enternecimiento era eminentemente piadoso, sobre todo en las noches de luna.

Encerrado en su casa, en su despacho, "|I|Location 631
entablaba|" del calorcillo del suave y blando lecho, convertía poco a poco a don Saturno en otro hombre; y entonces era el imaginar aventuras románticas, de amores en París, que era el país de sus ensueños, en cuanto hombre de mundo. Solía volver a sus novelas de la hora de dormirse la imagen de la Regenta, y <span style=""color: rgb(0, 0, 255);"">entablaba</span> con ella, o con otras damas no menos guapas, diálogos muy sabrosos en que ponía el ingenio femenil en lucha con el serio y varonil ingenio suyo; y entre estos dimes y diretes en que todo era espiritualismo y, a lo sumo, vagas promesas de futuros favores, le iba entrando el sueño al arqueól"|I|Location 638
a lo sumo,|"do. Solía volver a sus novelas de la hora de dormirse la imagen de la Regenta, y entablaba con ella, o con otras damas no menos guapas, diálogos muy sabrosos en que ponía el ingenio femenil en lucha con el serio y varonil ingenio suyo; y entre estos dimes y diretes en que todo era espiritualismo y, <span style=""color: rgb(0, 0, 255);"">a lo sumo,</span> vagas promesas de futuros favores, le iba entrando el sueño al arqueólogo, y la lógica se hacía disparatada, y hasta el sentido moral se pervertía y se desplomaba la fortaleza de aquel miedo que poco antes salvara al doctor en teología.

A la mañana siguiente don Saturno despertaba malhum"|I|Location 640
