word|ch-context-styled|chapter|kindle-location
restriñimientos.|"a en que le tomaron por clérigo, se dejaba la barba, de un negro de tinta china, pero la recortaba como el boj de su huerto. Tenía la boca muy grande, y al sonreír con propósito de agradar, los labios iban de oreja a oreja. No se sabe por qué entonces era cuando mejor se conocía que Bermúdez no se quejaba de vicio al quejarse del pícaro estómago, de digestiones difíciles y sobre todo de perpetuos <span style=""color: rgb(0, 0, 255);"">restriñimientos.</span> Era una sonrisa llena de arrugas, que equivalía a una mueca provocada por un dolor intestinal, aquella con que Bermúdez quería pasar por el hombre más espiritual de Vetusta, y el más capaz de comprender una pasión profunda y alambicada. Pues debe advertirse que sus lecturas serias de cronicones y otros libros viejos alternaban en su ambicioso espíritu con las novelas más finas y p"|I|Location 591
sucedáneos.|"nda don Saturno y quedar convertida en sotana era todo uno. Siempre parecía que iba de luto, aunque no fuera. Sin embargo, pocas veces quitaba la gasa del sombrero porque se tenía por pariente de toda la nobleza vetustense, y en cuanto moría un aristócrata estaba de pésame. Allá, en el fondo de su alma, se creía nacido para el amor, y su pasión por la arqueología era un sentimiento de la clase de <span style=""color: rgb(0, 0, 255);"">sucedáneos.</span> Al ver en las novelas más acreditadas de Francia y de España que los personajes de mejor sociedad sentían sobre poco más o menos las mismas comezones de que él era víctima, ya no vaciló en pensar que lo que le había faltado había sido un escenario. Las muchachas de Vetusta eran incapaces de comprenderle, así como él se confesaba a solas que no se atrevería jamás a acercarse a una joven"|I|Location 598
remordimientos|"comezones de que él era víctima, ya no vaciló en pensar que lo que le había faltado había sido un escenario. Las muchachas de Vetusta eran incapaces de comprenderle, así como él se confesaba a solas que no se atrevería jamás a acercarse a una joven para decirle cosa mayor en materia de amores.<br><br>Tal vez las casadas, algunas por lo menos, podrían entenderle mejor. La primera vez que pensó esto tuvo <span style=""color: rgb(0, 0, 255);"">remordimientos</span> para una semana; pero volvió la idea a presentarse tentadora, y como en las novelas que saboreaba sucedía casi siempre que eran casadas las heroínas, pecadoras sí, pero al fin redimidas por el amor y la mucha fe, vino en averiguar y dar por evidente que se podía querer a una casada y hasta decírselo, si el amor se contenía en los límites del más acendrado idealismo. En efecto, don S"|I|Location 602
mentecato.|"que con las solteras; no se atrevió a decírselo. Con los ojos sí se lo daba a entender, y hasta con ciertas parábolas y alegorías que tomaba de la Biblia y otros libros orientales; pero la señora de sus amores no hacía caso de los ojos de don Saturno ni entendía las alegorías ni las parábolas; no hacía más que decir a espaldas de Bermúdez:<br><br>—No sé cómo ese don Saturno puede saber tanto: parece un <span style=""color: rgb(0, 0, 255);"">mentecato.</span><br><br>Esta señora que llamaban en Vetusta la Regenta, porque su marido, ahora jubilado, había sido regente de la Audiencia, nunca supo la ardiente pasión del arqueólogo. Este joven sentimental y amante del saber se cansó de devorar en silencio aquel amor único y procuró ser veleidoso, aturdirse, y esto último poco trabajo le costaba, porque nunca se vio hombre más aturdido que él en cuanto u"|I|Location 609
veleidoso,|"as parábolas; no hacía más que decir a espaldas de Bermúdez:<br><br>—No sé cómo ese don Saturno puede saber tanto: parece un mentecato.<br><br>Esta señora que llamaban en Vetusta la Regenta, porque su marido, ahora jubilado, había sido regente de la Audiencia, nunca supo la ardiente pasión del arqueólogo. Este joven sentimental y amante del saber se cansó de devorar en silencio aquel amor único y procuró ser <span style=""color: rgb(0, 0, 255);"">veleidoso,</span> aturdirse, y esto último poco trabajo le costaba, porque nunca se vio hombre más aturdido que él en cuanto una mujer quería marearle con una o dos miradas. Cuatro años hacía que no perdía baile, ni reunión de confianza, ni teatro, ni paseo, y todavía las damas, cada vez que le veían bailando un rigodón (no se atrevía con el wals ni con la polka) repetían:<br><br>—¡Pero este Bermúdez está desc"|I|Location 611
aturdirse,|"s; no hacía más que decir a espaldas de Bermúdez:<br><br>—No sé cómo ese don Saturno puede saber tanto: parece un mentecato.<br><br>Esta señora que llamaban en Vetusta la Regenta, porque su marido, ahora jubilado, había sido regente de la Audiencia, nunca supo la ardiente pasión del arqueólogo. Este joven sentimental y amante del saber se cansó de devorar en silencio aquel amor único y procuró ser veleidoso, <span style=""color: rgb(0, 0, 255);"">aturdirse,</span> y esto último poco trabajo le costaba, porque nunca se vio hombre más aturdido que él en cuanto una mujer quería marearle con una o dos miradas. Cuatro años hacía que no perdía baile, ni reunión de confianza, ni teatro, ni paseo, y todavía las damas, cada vez que le veían bailando un rigodón (no se atrevía con el wals ni con la polka) repetían:<br><br>—¡Pero este Bermúdez está desconocido!<br><br>¡"|I|Location 611
desvencijada,|" A luchar con la tentación al aire libre; a cansar la carne con paseos interminables; y un poco también a olfatear el vicio, el crimen pensaba él, crimen en que tenía seguridad de no caer, no tanto por esfuerzos de la virtud como por invencible pujanza del miedo que no le dejaba nunca dar el último y decisivo paso en la carrera del abismo. Al borde llegaba todas las noches, y solía ser una puerta <span style=""color: rgb(0, 0, 255);"">desvencijada,</span> sucia y negra en las sombras de algún callejón inmundo. Alguna vez desde el fondo del susodicho abismo le llamaba la tentación; entonces retrocedía el sabio más pronto, ganaba el terreno perdido, volvía a las calles anchas y respiraba con delicia el aire puro; puro como su cuerpo; y para llegar antes a las regiones del ideal que eran su propio ambiente, cantaba la Casta diva o el Spi"|I|Location 626
apretando|"a llegar antes a las regiones del ideal que eran su propio ambiente, cantaba la Casta diva o el Spirto gentil o el Santo Fuerte, y pensaba en sus amores de niño o en alguna heroína de sus novelas.<br><br>¡Ah, cuánta felicidad había en estas victorias de la virtud! ¡Qué clara y evidente se le presentaba entonces la idea de una Providencia! ¡Algo así debía de ser el éxtasis de los místicos! Y don Saturno <span style=""color: rgb(0, 0, 255);"">apretando</span> el paso volvía a su casa ebrio de idealismo, mojando los embozos de la capa con las lágrimas que le hacía llorar aquel baño de idealidad, como él decía para sus adentros. Su enternecimiento era eminentemente piadoso, sobre todo en las noches de luna.<br><br>Encerrado en su casa, en su despacho, después de cenar, o bien escribía versos a la luz del petróleo o manejaba sus librotes; y por fin se"|I|Location 631
entablaba|"uenos, ánimos fuertes. Esta voluptuosidad ideal del bien obrar, mezclándose a la sensación agradable del calorcillo del suave y blando lecho, convertía poco a poco a don Saturno en otro hombre; y entonces era el imaginar aventuras románticas, de amores en París, que era el país de sus ensueños, en cuanto hombre de mundo. Solía volver a sus novelas de la hora de dormirse la imagen de la Regenta, y <span style=""color: rgb(0, 0, 255);"">entablaba</span> con ella, o con otras damas no menos guapas, diálogos muy sabrosos en que ponía el ingenio femenil en lucha con el serio y varonil ingenio suyo; y entre estos dimes y diretes en que todo era espiritualismo y, a lo sumo, vagas promesas de futuros favores, le iba entrando el sueño al arqueólogo, y la lógica se hacía disparatada, y hasta el sentido moral se pervertía y se desplomaba la fort"|I|Location 638
a lo sumo,|"r aventuras románticas, de amores en París, que era el país de sus ensueños, en cuanto hombre de mundo. Solía volver a sus novelas de la hora de dormirse la imagen de la Regenta, y entablaba con ella, o con otras damas no menos guapas, diálogos muy sabrosos en que ponía el ingenio femenil en lucha con el serio y varonil ingenio suyo; y entre estos dimes y diretes en que todo era espiritualismo y, <span style=""color: rgb(0, 0, 255);"">a lo sumo,</span> vagas promesas de futuros favores, le iba entrando el sueño al arqueólogo, y la lógica se hacía disparatada, y hasta el sentido moral se pervertía y se desplomaba la fortaleza de aquel miedo que poco antes salvara al doctor en teología.<br><br>A la mañana siguiente don Saturno despertaba malhumorado, con dolor de estómago, llena el alma de pesimismo desesperado y de flato el cuerpo.—¡Memento "|I|Location 640
culebras|" no hacía caso de la fervorosa contrición del pobre hombre. ¡Y que le dijeran a don Saturno que la materia no es vil y grosera!<br><br>Aquel día había recibido antes de comer un billete perfumado de su amiguita Obdulia Fandiño, viuda de Pomares. ¡Qué emoción! No quiso abrir el misterioso pliego hasta después de tomar la sopa. ¿Por qué no soñar?<br><br>¿Qué era aquello? O. F. decían dos letras enroscadas como <span style=""color: rgb(0, 0, 255);"">culebras</span> en el lema del sobre.—De parte de doña Obdulia, había dicho el criado. Aquella señora, todo Vetusta lo sabía, era una mujer despreocupada, tal vez demasiado; era una original.... Entonces... acaso... ¿por qué no?... una cita.... Ellos, al fin, se entendían algo, no tanto como algunos maliciaban, pero se entendían.... Ella le miraba en la iglesia y suspiraba. Le había dicho una vez que sab"|I|Location 651
despreocupada,|"l día había recibido antes de comer un billete perfumado de su amiguita Obdulia Fandiño, viuda de Pomares. ¡Qué emoción! No quiso abrir el misterioso pliego hasta después de tomar la sopa. ¿Por qué no soñar?<br><br>¿Qué era aquello? O. F. decían dos letras enroscadas como culebras en el lema del sobre.—De parte de doña Obdulia, había dicho el criado. Aquella señora, todo Vetusta lo sabía, era una mujer <span style=""color: rgb(0, 0, 255);"">despreocupada,</span> tal vez demasiado; era una original.... Entonces... acaso... ¿por qué no?... una cita.... Ellos, al fin, se entendían algo, no tanto como algunos maliciaban, pero se entendían.... Ella le miraba en la iglesia y suspiraba. Le había dicho una vez que sabía más que el Tostado, elogio que él supo apreciar en todo lo que valía, por haber leído al ilustre hijo de Ávila. En cierta ocasión "|I|Location 652
se puso colorado|"e atragantó. Bebió vino y abrió la carta.<br><br>Decía así: «Saturnillo: usted que es tan bueno ¿querrá hacerme el obsequio de venir a esta su casa a las tres de la tarde? Le espero con...». Hubo que dar vuelta a la hoja.<br><br>—Impaciencia—pensó el sabio. Pero decía: «...Le espero con unos amigos de Palomares que quieren visitar la catedral acompañados de una persona inteligente... etc., etc.». Don Saturno <span style=""color: rgb(0, 0, 255);"">se puso colorado</span> como si estuviera en ridículo delante de una asamblea.<br><br>—No importa—se dijo—esta visita a la catedral es un pretexto.<br><br>Y añadió:—¡Bien sabe Dios que siento la profanación a que se me invita!<br><br>Se vistió lo más correctamente que supo, y después de verse en el espejo como un Lovelace que estudia arqueología en sus ratos de ocio, se fue a casa de doña Obdulia.<br><br>Tal era el personaje qu"|I|Location 663
fulminó|"ero en realidad de verdad—estilo de Bermúdez—para descansar, con una reacción proporcionada, de la postura incómoda en que el sabio le había tenido un cuarto de hora. Por fin el del jipijapa exclamó:<br><br>—Me parece, señor Bermúdez, que ese famosísimo cuadro del ilustre....<br><br>—Cenceño.—Pues; del ilustrísimo Cenceño; luciría más si....<br><br>—Si se pudiera ver—interrumpió la esposa del señor Infanzón.<br><br>Este <span style=""color: rgb(0, 0, 255);"">fulminó</span> terrible mirada de reprensión conyugal y rectificó diciendo:<br><br>—Luciría más... si no estuviera un poquito ahumado.... Tal vez la cera... el incienso....<br><br>—No señor; ¡qué ahumado!—respondió el sabio, sonriendo de oreja a oreja—. Eso que usted cree obra del humo es la pátina; precisamente el encanto de los cuadros antiguos.<br><br>—¡La pátina!—exclamó el del pueblo convencido—. Sí, es lo más probab"|I|Location 681
pátina;|"enceño.—Pues; del ilustrísimo Cenceño; luciría más si....<br><br>—Si se pudiera ver—interrumpió la esposa del señor Infanzón.<br><br>Este fulminó terrible mirada de reprensión conyugal y rectificó diciendo:<br><br>—Luciría más... si no estuviera un poquito ahumado.... Tal vez la cera... el incienso....<br><br>—No señor; ¡qué ahumado!—respondió el sabio, sonriendo de oreja a oreja—. Eso que usted cree obra del humo es la <span style=""color: rgb(0, 0, 255);"">pátina;</span> precisamente el encanto de los cuadros antiguos.<br><br>—¡La pátina!—exclamó el del pueblo convencido—. Sí, es lo más probable. Y se juró, en llegando a Palomares, mirar el diccionario para saber qué era pátina.<br><br>En aquel momento el Magistral se acercaba a saludar a don Saturno; reconoció a Obdulia y se inclinó sonriente; pero menos sonriente que al saludar a Bermúdez. Después dobló la cabeza y "|I|Location 684
arrimaron|" diócesis....<br><br>—¡Oh! ¡oh! ¡ya! ¡ya!—exclamó Infanzón que hacía mucho admiraba de lejos al señor Magistral. La señora del lugareño manifestó deseos de besar la mano del Provisor, pero la mirada del marido la contuvo otra vez, y no hizo más que doblar las rodillas como si fuera a caerse. El Magistral hablaba en voz alta de modo que sus palabras resonaban en las bóvedas y los demás con el ejemplo se <span style=""color: rgb(0, 0, 255);"">arrimaron</span> también a gritar. Pronto las carcajadas de Obdulia Fandiño, frescas, perladas, como las llamaba don Saturno, llenaron el ambiente, profanado ya con el olor mundano de que había infestado la sacristía desde el momento de entrar. Era el olor del billete, el olor del pañuelo, el olor de Obdulia con que el sabio soñaba algunas veces. Mezclado al de la cera y del incienso le sabía a gloria al"|I|Location 692
