word	chapter	location
restriñimientos.	I	Location 591
sucedáneos.	I	Location 598
remordimientos	I	Location 602
mentecato.	I	Location 609
veleidoso,	I	Location 611
aturdirse,	I	Location 611
desvencijada,	I	Location 626
apretando	I	Location 631
entablaba	I	Location 638
a lo sumo,	I	Location 640
culebras	I	Location 651
despreocupada,	I	Location 652
se puso colorado	I	Location 663
fulminó	I	Location 681
pátina;	I	Location 684
arrimaron	I	Location 692
carcajadas	I	Location 692
El Magistral le iba a la mano	I	Location 709
Era menester que	I	Location 716
flamantes	I	Location 734
hacer aspavientos.	I	Location 734
pellizco	I	Location 741
calzón	I	Location 746
estrépito	I	Location 754
enaguas;	I	Location 755
disimulaba	II	Location 786
asperezas,	II	Location 786
arrugado	II	Location 796
arcipreste,	II	Location 804
mundanas:	II	Location 808
castidad	II	Location 811
estragos.	II	Location 820
tresillo	II	Location 835
conciliábulos	II	Location 835
alientos	II	Location 838
suelta la sin hueso	II	Location 847
verdores	II	Location 852
boquirroto	II	Location 853
instintos anafrodíticos,	II	Location 855
graneado!	II	Location 865
gallardía	II	Location 869
discurrió	II	Location 870
tacha	II	Location 870
acecho,	II	Location 872
carcajada	II	Location 897
simonía	II	Location 919
jaqueca?	II	Location 926
hilaba	II	Location 944
acechaba	II	Location 948
chocho	II	Location 951
manar	II	Location 953
picaresca intención,	II	Location 965
darse por enterado de	II	Location 967
codiciada	II	Location 970
fastos	II	Location 979
nefastos,	II	Location 979
había de beber los vientos	II	Location 981
de ensueños,	II	Location 987
oropel	II	Location 988
halagasen	II	Location 988
hastío.	II	Location 989
verbosidad,	II	Location 995
estorbaba	II	Location 996
alzacuello	II	Location 1000
vejete	II	Location 1000
desairar	II	Location 1008
el talón de Aquiles.	II	Location 1010
recado.	II	Location 1022
hojarasca,	II	Location 1033
pasmado.	II	Location 1036
brea.	II	Location 1061
plateresca	II	Location 1065
pudor	II	Location 1086
El viento caliente le sabía a cierzo.	II	Location 1102
meliflua,	III	Location 1124
tocador	III	Location 1139
pulla	III	Location 1145
granate,	III	Location 1157
bata	III	Location 1158
cadera.	III	Location 1161
entumecidos	III	Location 1163
enternecía.	III	Location 1175
barca	III	Location 1204
rubor	III	Location 1205
ría.	III	Location 1237
tascaba	III	Location 1279
sojuzgada;	III	Location 1279
aplacarla	III	Location 1281
cardos	III	Location 1281
mortificaba.	III	Location 1287
desvaneciéndose,	III	Location 1294
anhelo	III	Location 1300
chispas	III	Location 1301
bata	III	Location 1304
palmatoria	III	Location 1304
tila	III	Location 1307
azahar.	III	Location 1308
encantos	III	Location 1318
toda vez que	III	Location 1319
rubia azafranada....	III	Location 1319
perilla	III	Location 1323
cinegético,	III	Location 1334
encarnado;	III	Location 1346
achaques del puntillo	III	Location 1401
sangría suelta.	III	Location 1406
atracón	III	Location 1418
espadachín	III	Location 1421
aparatosa.	III	Location 1433
regocijó	III	Location 1433
sobrios,	III	Location 1449
amoríos,	IV	Location 1463
puerperio	IV	Location 1471
menoscabo	IV	Location 1480
como v. gr.,	IV	Location 1501
vivir a salto de mata.	IV	Location 1503
descreídas,	IV	Location 1509
retoño	IV	Location 1535
alfiler	IV	Location 1555
¡a babor, a estribor!	IV	Location 1575
desazones	IV	Location 1580
lance	IV	Location 1600
torpe	IV	Location 1611
gazmoñería	IV	Location 1622
temerarios!	IV	Location 1633
funámbula	IV	Location 1654
estragos.	IV	Location 1664
huraña	IV	Location 1671
amigotes	IV	Location 1684
cursis.	IV	Location 1696
enredadera	IV	Location 1714
albedrío.	IV	Location 1756
alabar	IV	Location 1766
guiñando	IV	Location 1774
disparataba	IV	Location 1775
tomillo	IV	Location 1778
jaqueca	IV	Location 1784
hondonada	IV	Location 1785
bramidos	IV	Location 1790
columbraba	IV	Location 1797
apoteosis.	IV	Location 1800
despavorida...	IV	Location 1819
por consiguiente	V	Location 1822
irrisoria,	V	Location 1847
repentina	V	Location 1849
amparando	V	Location 1861
atareada	V	Location 1905
tertulia	V	Location 1907
pudor,	V	Location 1934
raquítica,	V	Location 1950
brasas	V	Location 1951
por consiguiente	V	Location 1966
cuanto antes	V	Location 1969
enternecida,	V	Location 1992
alambicados,	V	Location 2001
parajes	V	Location 2002
ternezas,	V	Location 2006
turgentes.	V	Location 2007
en lontananza	V	Location 2011
manjares	V	Location 2019
abultadas.	V	Location 2041
se encogía de hombros.	V	Location 2048
sin reparo	V	Location 2051
potentado.	V	Location 2054
libertinos	V	Location 2058
huraña....	V	Location 2082
ten con ten.	V	Location 2091
propasarse	V	Location 2099
torneado	V	Location 2103
pantorrilla	V	Location 2103
pellizcos,	V	Location 2111
sacar partido	V	Location 2122
prodigado	V	Location 2122
elogios	V	Location 2138
instruido,	V	Location 2160
empalagaba.	V	Location 2167
mojigatos.	V	Location 2170
sans-culotte.	V	Location 2192
enclenques	V	Location 2202
papel marquilla.	V	Location 2202
comedido...	V	Location 2217
pulcro	V	Location 2237
cabal,	V	Location 2240
desliz	V	Location 2255
aspavientos	V	Location 2256
derretirá	V	Location 2267
Soy cuerno!	V	Location 2269
cuervo	V	Location 2275
se sintió herido de punta de amor.	V	Location 2305
compareció	V	Location 2308
monjío....	V	Location 2319
dar rienda suelta	V	Location 2327
aurea mediocritas,	V	Location 2340
condecoraciones.	V	Location 2343
tomar la venia	V	Location 2347
soliviantados	V	Location 2350
medrar	V	Location 2392
soñolienta	V	Location 2392
inveterada	VI	Location 2413
dejar la toga pretexta y tomar la viril.	VI	Location 2429
chambones,	VI	Location 2433
tendieron el vuelo	VI	Location 2437
un duro falso.	VI	Location 2456
recibiendo codillos.	VI	Location 2461
hurto	VI	Location 2484
alcaide	VI	Location 2490
indefectiblemente,	VI	Location 2495
sesudos	VI	Location 2528
Antes mentir que exagerar.	VI	Location 2596
castor	VI	Location 2599
Yo lo sé de buena tinta.	VI	Location 2642
corro	VI	Location 2660
envalentonado	VI	Location 2742
asechanzas	VII	Location 2780
esbelto.	VII	Location 2797
inquina	VII	Location 2836
desfachatada	VII	Location 2879
circunloquios;	VII	Location 2895
deleite,	VII	Location 2899
aguijonearle	VII	Location 3047
cancerbero	VII	Location 3080
redimirse	VII	Location 3103
apaleaban	VIII	Location 3139
eran uña y carne.	VIII	Location 3140
sacar tajada	VIII	Location 3140
amaños	VIII	Location 3147
los años no le rinden;	VIII	Location 3148
alababan	VIII	Location 3149
